FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,ZONA,CLASE DE SITIO,CÓDIGO DANE,CLASE DE ARMA,PERMISO,CANTIDAD
,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,URBANA,CASAS DE HABITACION,"11,001,000",REVOLVER,SIN PERMISO,1
,CUNDINAMARCA,UBAQUE,Domingo,RURAL,CARRETERA,"25,841,000",PISTOLA,CON PERMISO,1
,GUAJIRA,RIOHACHA (CT),Domingo,URBANA,VIAS PUBLICAS,"44,001,000",PISTOLA,CON PERMISO,1
,MAGDALENA,ZONA BANANERA,Domingo,RURAL,VIAS PUBLICAS,"47,980,000",PISTOLA,SIN PERMISO,1
,META,VILLAVICENCIO (CT),Domingo,URBANA,VIAS PUBLICAS,"50,001,000",REVOLVER,SIN PERMISO,1
,NORTE DE SANTANDER,CONVENCIÓN,Domingo,RURAL,CARRETERA,"54,206,000",PISTOLA,SIN PERMISO,1
,NORTE DE SANTANDER,CÚCUTA (CT),Domingo,URBANA,IGLESIA,"54,001,000",REVOLVER,SIN PERMISO,1
,NORTE DE SANTANDER,LOS PATIOS,Domingo,URBANA,VIAS PUBLICAS,"54,405,000",REVOLVER,SIN PERMISO,1
,PUTUMAYO,MOCOA (CT),Domingo,URBANA,VIAS PUBLICAS,"86,001,000",ESCOPETA,SIN PERMISO,1
,QUINDÍO,LA TEBAIDA,Domingo,URBANA,VIAS PUBLICAS,"63,401,000",REVOLVER,SIN PERMISO,1
,RISARALDA,PEREIRA (CT),Domingo,URBANA,VIAS PUBLICAS,"66,001,000",ESCOPETA,SIN PERMISO,1
,RISARALDA,PUEBLO RICO,Domingo,URBANA,VIAS PUBLICAS,"66,572,000",REVOLVER,SIN PERMISO,1
,SANTANDER,ARATOCA,Domingo,RURAL,CARRETERA,"68,051,000",ESCOPETA DE FISTO,SIN PERMISO,1
,SANTANDER,BUCARAMANGA (CT),Domingo,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,"68,001,000",PISTOLA,SIN PERMISO,1
,SUCRE,MAJAGUAL,Domingo,RURAL,VIAS PUBLICAS,"70,429,000",REVOLVER,SIN PERMISO,1
